12;fran;1234567;fran@pucv;av.argentina;16;kira;gato;calico;2;6.5
12;fran;1234567;fran@pucv;av.argentina;17;luna;perro;bravo;13;5.0
100000000;leo;45678900;lein};los leones;0;;;;0;0.0
10463607-7;Diego Morales;979345493;diego10@hotmail.com;Camino Real #393;15;Mustafa;Gato;Mestizo;11;8.5
5612024-6;Juan Soto;928765432;juan.soto@gmail.com;Av. Central #123;11;Pipo;Perro;Beagle;3;12.8
22222222-2;Emilia Perez;900000000;emi@perez;av. argentina;9;Puppy;desconocido;desconocido;0;0.0
22222222-2;Emilia Perez;900000000;emi@perez;av. argentina;10;Luna;Perro;Pug;4;5.5
123456789;lulu;9800254345;frani@frani;lo barnechea;18;frani;pez;goldfish;4;1.0
3650272-2;Camila Diaz;928865234;camila82@gmail.com;Camino Real #133;12;Firulais;Conejo;Rex;5;3.9
4964586-3;Diego Duarte;966970038;diego88@hotmail.com;Av. Principal #295;13;Max;Gato;Siames;3;15.3
16258823-6;Sofia Rojas;995403240;sofia27@hotmail.com;Calle Secundaria #14;14;Rocky;Perro;Poodle;9;34.3
